	sentence	type	point
53	Chất vải xấu, xù.	NEG	2
54	Sp tạm được, hơi rộng so vs mình.	NEU	3
55	Đẹp, chất mềm mại mặc rất thích, chủ shop nhiệt tình Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.	POS	5
56	Giày nhem nhuốc, ố bẩn + Box nát.	NEG	1
57	Rất đáng tiền, tuy nhiên vải ko được co giãn lắm, nếu là bạn gái từ 55k trở lên thì khó mặc.	NEU	3
58	Đủ số lượng.	POS	4
59	Áo y hình Chất lượng sản phẩm tuyệt vời.	POS	5
60	RẤT ƯNG Ý VÀ CHẤT LƯỢNG!!!	POS	5
61	Mật để trong tủ lạnh bị đóng sệt lại, khoảng không trong chai ko di chuyển như mật mình mua ở địa phương.	NEG	2
62	Áo sờ chất rất thích.	POS	4
63	Váy quá đẹp,mặc lên rất tôn da.	POS	5
64	mình xài hộp màu xanh, sao lại thấy không thơm nhỉ?	POS	4
65	Giao hàng nhanh, giống hình.	POS	5
66	Shop tặng thêm bánh và 1 đôi tất lười nữa, đáng yêu 😍😍.	POS	5
67	Hàng chất lượng tốt, mang đi êm <3.	POS	5
68	Chất lượng sản phẩm tuyệt vời nhưng màu k giống hình minh đặt .	POS	4
69	Người giao hàng rất có tâm đấy ạ.	POS	5
70	Hàng tốt i như trong hình.	POS	5
71	Giao hàng khá chậm.	NEG	2
72	Áo đẹp, hơi mỏng.	NEU	3
73	Đúng hàng loại 1 có khác từ cách đóng gói đến chất lượng sản phẩm quá tốt.	POS	5
74	Chất lượng sản phẩm tuyệt vời , ngon bổ re shop a.	POS	5
75	Màn hình to và khá là hd.	POS	5
76	Áo khá mỏng và cụt hơn mình nghĩ Đóng gói sản phẩm ok.	NEG	2
77	Quần chưa kịp mặc đã bục 1 đoạn.	NEG	2
78	Mình 48kg.	NEU	3
79	Mình mua sp chất giống ảnh, gói hàng đẹp, giao hàng nhanh, giá cả hợp lý.	POS	4
80	Chất áo thì k phải lăn tănnn luôn nhưng form hơi to .	POS	4
81	Shop còn có quà tặng kèm và thẻ tích điểm.	POS	5
82	Mạng chạy chậm quá.	NEG	1
83	Vừa khít bụng mình mà không bị hằn,cấn.	POS	4
84	Mua lần 2.	POS	4
85	Chất lượng sản phẩm tốt.	POS	5
86	Rất ưng ý 🤪❤️❤️.	POS	5
87	Hàng thì siêu yêu, siêu mềm mịn.	POS	5
88	Chất liệu vải tốt so với giá ( 100k).	POS	4
89	Chất lượng sản phẩm tạm được Thời gian giao hàng tạm được Đóng gói sản phẩm tạm được.	NEU	3
90	Đóng gói kĩ , áo còn lại đẹp.	POS	5
91	Giao nhầm hàng , ib shop k trả lời 😓😓😓.	NEG	1
92	Màu bạc rất sáng, lấp lánh hơn màu hồng.	POS	4
93	Chất áo dày dặn, form áo đẹp.	POS	5
94	Ống quần bên to bên nhỏ size s và l bằng nhau.	NEG	2
95	Đóng gói gọn gàng đẹp đẽ Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh.	POS	5
96	Chất lượng sản phẩm tương xứng giá tiền, mua mặc thay đổi kiểu thì ok.	POS	5
97	Ốc hơi lỏng cho thêm cái vặn vít k đang bao nhiêu nhưng quý hơn cái dây kia bạn ạ...	NEU	3
98	Chất lượng sản phẩm tuyệt vời.	POS	5
99	Shop phục vụ rất tốt, hết mẫu mình đặt còn gọi lại để đổi sang loại khác dù giá cao hơn nhưng vẫn lấy =giá sale.hàng rất oke.thanks shop 😄.	POS	5
100	Ren hơi mềm nên làm dáng áo ko được cứng, nâng ngực tạm đc.	POS	4
101	Giao hàng lâu.	NEG	2
102	Sz 34 mà Khung ngực nhỏ quá.	NEG	2
103	Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	5
104	Hàng y hình rất đẹp ạ ❤️.	POS	5
105	Thái đô kém Thời gian giao hàng rất chậm Shop phục vụ rất kém.	NEG	1
106	Bàn tay mỏng nên ko nâng lắm.	NEG	2
107	Đẹp lắm đấy.	POS	4
108	Áo giống hình, chất vải hơi nóng.	POS	4
109	Đóng gỏi không cẩn thận, shop nên đong hộp cứng đỡ bị móp bẹp túi.	NEG	1
110	Giao hàng nhanh. .mua sp thì hỏi kĩ trước tránh thất vọng.	NEU	3
111	Đóng gói sản phẩm rất đẹp và chắc chắc.	POS	5
112	Thời gian giao hàng rất nhanh, dầy dặn, đẹp.	POS	5
113	có giống hình nhưng vải rất mỏng không đúng như trong hình . giá tiền tương đương với sản phẩm.	NEG	2
114	Chủ shop tư vấn rất nhiệt tình, đầm lên form rất đẹp, hợp với dáng mình, còn đc tặng kèm qà.	POS	5
115	Váy còn đẹp và chuẩn hơn trong hình nữa.	POS	5
116	Sz 2 bộ xanh và hồng ko giống nhau.	NEG	1
117	Áo rẻ đẹp phù hợp giá tiền.	POS	4
118	Áo vải cực đẹp, y hình, có điều to hơn mong đợi....	POS	5
119	Chất lượng sản phẩm tuyệt vời.	POS	5
120	Chất lượng sản phẩm tuyệt vời đồ rất đẹp sẽ ủng hộ shop tiếp.	POS	5
121	Sản phản mới.Chất lượng sản phẩm tuyệt vời .	POS	5
122	Giao hàng nhanh.👍👍.	POS	5
123	Rất ngon nhưng mà theo em thì nên xé nhỏ khô lại.	POS	4
124	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh❤️👍🙈.	POS	5
125	Chất ok á..nhưng rep ib thì hơi lâu.	POS	4
126	Luôn ủng hộ shop.	POS	5
127	Âm thanh rất dở.	NEG	1
128	Xấu và nhìn phom áo chán đời luôn.	NEG	1
129	Chất lượng sản phẩm tốt Đáng đồng tiền.	POS	5
130	Chuẩn quần vải đẹp ôm gọn chân, mà vải còn mát nữa .	POS	5
131	Shop vận chuyển hàng nhanh, váy khá ổn, mà còn đc tặng quà nữa hihi lắc tay nhỏ nhỏ xinh xinh khi nào đeo cho bé nhà 😍😍.	POS	5
132	Nhìn cái áo cũ màu không đẹp vãi mỏng không đág tiền lắm.	NEG	2
133	Đập vào mắt là 175000₫ làm mất hứng .Sản phẩm được. màu đậm hơn hình.áo có mùi như thuốc tẩy giặt mãi ko hết.	NEG	2
134	Chuẩn hàng Bitis.	POS	4
135	Màu ko đẹp như hình chup.	NEG	1
136	Hàng đẹp giao nhanh.	POS	5
137	Chất lượng sản phẩm tuyệt vời , vải ok , thích hợp cho những ai thích mang form rộng lắm nè.	POS	5
138	Hợp với giá 130k.	POS	5
139	Form áo xấu lắm, mặc lên như tá điền, chỗ tà áo bên dưới rất dài chứ ko ngăn như ảnh mẫu mặc, bảo sao thấy quay clip gập đôi áo vào.	NEG	2
140	Thời gian giao hàng rất nhanh.	POS	5
141	Công nghệ hơi lạ, ko biết có bền ko.	NEU	3
142	Gối hơi nhỏ.	NEG	2
143	Áo nhìn xinh , shop nói chuyện cực đáng yêu.	POS	5
144	Chất lượng sản phẩm tạm được.chiều dài áo ngắn quá.	NEU	3
145	Mùi len hơi nặng đã giặt nhưng vẫn còn nặng mùi.	NEG	1
146	Vải oke lắm luôn.	POS	5
147	Sản phẩm tạm được, đóng gói không đẹp.	NEG	2
148	Chưa thấy shop nào hãm l thế này.	NEG	1
149	sản phẩm rất ok, kể cả áo trong của nữ chất vải cũng mềm đẹp, mang lên sang chảnh, tui mình diện đi sinh nhật ai cũng khen đẹp đôi, nói chung là rất hài lòng.	POS	5
150	Tầm giá là sử dụng tot.	POS	5
151	Không dùng được.	NEG	2
152	Chất lượng sản phẩm tạm được áo hơi ngắn so với hình.	NEG	2
153	Sản phẩm tôt giao hang nhanh.	POS	4
154	Hàng bình thường.	NEU	3
155	K con duong nao de che .	NEG	1
156	Chất vải ok dày dặn.	POS	5
157	Ưng!	POS	4
158	Nay mua thêm 1 combo nữa.	NEU	3
159	áo dep lam shop ui.mình rat thix.	POS	5
160	Thời gian giao hàng nhanh.	POS	5
161	Rất ưng hiii.	POS	5
162	K giao.	NEG	2
163	Màu sắc k giống hình.	NEG	2
164	Áo vải quá xấu.	NEG	1
165	Nói chung là mình mua mặc đi làm ok, đáng tiền.	POS	5
166	Shop nhiệt tình giúp đỡ, chất lượng quần thì khỏi chê, dài rộng gì cũng vừa ý mình hết.	POS	5
167	Yêu cầu đổi trả Shop yêu cầu gửi ảnh, gửi cho r im lặng.	NEG	2
168	Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	5
169	Hàng kém chất lượng và không như quảng cáo.	NEG	2
170	Shop phục vụ rất tốt.	POS	5
171	Nói chung là không thất vọng đâu.	POS	4
172	Chất lượng sản phẩm tuyệt vời.	POS	5
173	Sản phẩm giống hình.	NEU	3
174	Giầy hơi cứng Chất lượng sản phẩm tạm được.	NEU	3
175	Sờ chất quần thì Ok luôn.	POS	4
176	Vay đẹp kỹ,tu van nhiet tinh.	POS	5
177	Y hình.	POS	5
178	Nt ko trả lời.	NEG	2
179	Chất lượng vừa với giá tiền.	POS	4
180	Sẽ ủng hộ shop dài.	POS	5
181	Hàng chất lượng hơn giá sản phẩm nhak mọi người.	POS	4
182	Áo rách ntn ko hiểu phải mặc ntn luôn.	NEG	1
183	nhưng cũng phù hợp với giá tiền, mặc vẫn ok!	POS	4
184	Đồ mặc vừa.Thun hơi ôm dễ thấy bụng.😀.	POS	4
185	Chọn màu này lấy màu kia.	NEG	2
186	hàng tương đối ổn,mình khá hài lòng.	POS	4
187	Inbox ko thèm trả lời.	NEG	2
188	Mình mua 2 chai về tàng trữ dần vì loại này vừa tẩy sạch vừa không dễ gây mụn như dầu tẩy trang.	POS	5
189	Mất uy tín.	NEG	1
190	Màu ngoài ko giống trong ảnh nhưng chất lượng khá ok với giá.	POS	4
191	Rất ưng.	POS	5
192	shop giao hàng nhanh, gửi đúng màu, áo giống hình, mặc dù chất vải ko đẹp như mong muốn nhưng vẫn cho shop 5*.	POS	4
193	Shop phục vụ rất tốt, Thời gian giao hàng rất nhanh.	POS	5
194	giày đẹp lắm . giao hàng lâu quá mun điên.	POS	4
195	Shop giao siêu nhanh.	POS	5
196	Giao hàng nhanh.	POS	5
197	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng tạm được Đáng đồng tiền.	POS	4
198	Chất lượng sản phẩm tuyệt vời.	POS	5
199	Vừa ý.	POS	4
200	4 quần size L nhưng lại bị cái to cái bé, còn với giá tiền nvay thì cũng k mong chất đẹp hơn.	POS	4
201	Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh.	POS	5
202	Nhưng ko sao tks shop.	POS	4
203	Chất lượng sp tốt nhưng giao hàng chậm onl cũng chẳng trả lời gì.	POS	4
204	Vài thun rất mỏng ko fai len.	NEG	1
205	Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt.👍👍👍.	POS	5
206	Đóng gói sản phẩm chắc chắn , shop giao hàng nhanh , nhận ngay 20/10 😂 về sp thì chất vải cũng đc, hợp mặc mùa thu.áo đẹp nhưng mà shop nên kiểm tra kĩ Sp đi ạ 😐 áo thì cứ vài chỗ lại có vết bẩn xong lại có màu xanh xanh ở gần đuôi áo 😐 chưa kể lúc mở hàng ra thì bị ngay cái dằm suýt đâm vào tay😒.	POS	4
207	Shop giao hàng cực nhanh lun trưa hom qua đặt mà trưa nay đã giao.	POS	5
208	Thêm tin tưởng vào shoppe.	POS	4
209	Áo vải đẹp mịn mát ❤.	POS	5
210	Chất lượng sản phẩm tuyệt vời; Thời gian giao hàng rất nhanh.	POS	5
211	Chủ shop nhiệt tình.	POS	5
212	Rất đáng tiền.	POS	5
213	Sản phẩm rất đẹp.	POS	5
214	Hơi thô.	NEG	2
215	Vãi rất mỏng.	NEG	2
216	Hàng y như hình.	NEU	3
217	Đẹp lại rẻ.	POS	5
218	Chất lượng sản phẩm tuyệt vời Ưng sẽ ủng hộ shop dài giao hàng nhanh.	POS	5
219	Quay lại sửa đánh giá sau khi tung tăng mặc váy diện muôn nơi ~ váy chất k có gì để chê, tuyệt vời, dày dặn, mặc đúng kiểu chùm chân mình thích, che được mông, cạp cao, mặc lên eo ót với cả chân dài cả mét :)) tuyệt vời cho 1 chiếc váy 159k.	POS	5
220	Ao mặc đẹp, chất đẹp . thời gian giao hàng rất nhanh.	POS	5
221	Giao hàng rất nhanh, aó đẹp, nói chung rất hài lòng.	POS	5
222	Đặt xanh đậm mà giao mảu xám , thất vọng quá,màu thấy củ xèm.	NEG	2
223	Quả ko đẹp Chất lượng sản phẩm tạm được.	NEG	2
224	Áo chất đẹp, shop phục vụ tốt.	POS	4
225	Đóng gói sản phẩm chắc chắn.	POS	5
226	Tôi rất hài lòng về sản phẩm.	POS	5
227	Chất lượng sản phẩm tuyệt vời rất ưng ý đồ đẹp.	POS	5
228	Shop lam ăn không uy tín.. sảm phẩm thì dỗm.. chát thì chặn.	NEG	1
229	Hàng rất ok 👍.	POS	5
230	CL phù hợp giá tiền.	NEU	3
231	Đúng hình ảnh, đẹp.	POS	5
232	Mẫu cũng đa dạng.	POS	5
233	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	5
234	Hết hàng thì phải báo với khách chứ đằng này vẫn giao.	NEG	2
235	Ban đầu mình nghĩ là ren mỏng, nhưng nhận đc thì thấy ren đẹp hơn mình tưởng tượng.	POS	5
236	Đẹp, vừa ý...	POS	4
237	Tuyệt ạ ... giày nhẹ êm.	POS	5
238	Đúng mỗi 1 màu.	NEG	2
239	Sản phẩm chất lượng .	POS	4
240	Cổ áo bị rách shop nên ktra kĩ trc khi giao, mình 40kg cao 1,55m mà mặc hơi chật.	NEG	1
241	Đóng gói kỹ.	POS	5
242	Gói hàng cẩn thận.	POS	5
243	Cảm ơn shop nhìu.	POS	4
244	Đây là lần thứ 2 mua sp của shop , giày đẹp , cách phục vụ tốt 😊 sẽ ủng hộ shop nhiều nữa.	POS	5
245	Son lên màu đẹp không bị khô cứng và lộ vân môi như màu 12 Rất đáng tiền.	POS	5
246	Cảm ơn shop nhé.	POS	4
247	Giống hình mà vải hơi cứng bạn ạk.	POS	4
248	Chất áo đẹp lắm, yêu shop.	POS	5
249	Quần của shop quá đẹp luôn.	POS	5
250	Minh lay sz lớn nhất cho rộng roi , sz xxl mà nhìn thay bé hơn quần củ , chồng mình 72kg , sp chất thì nhìn tốt Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	5
251	Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Rất đáng tiền.	POS	5
252	Chất thì ok nhưng cổ áo ko giống hình.cổ áo ko rộng mà ôm.	NEU	3
253	Đặt 2 quần dài mà đóng gói cho 1 quần ngố.	NEG	2
254	Khuyến khích cho 5*.	POS	5
255	Nét chữ không được rõ, sp có mùi hơi kinh.	NEG	1
256	Mặc phối với chân váy hay jean đều đẹp.	POS	5
257	Nhưng GHTK thu tròn 110.000 đ.	NEG	2
258	Không giống hình cho lắm nhưng chất lượng cũng OK ,Mua 3 mà mỗi sp này là đc .	NEU	3
259	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.sácg hay.	POS	5
260	Đóng gói sp chắc chắn, giao hàng rất nhanh.	POS	5
261	Chất lượng sản phẩm kém không giống như mô tả.	NEG	2
262	Đáng tiền.	POS	5
263	Váy mặc siêu xinh.	POS	5
264	Thời gian giao hàng rất nhanh hàng y hình.	POS	4
265	Vải thì rất đẹp.	POS	5
266	Tiền nào cũa náy.	NEU	3
267	Gooddd.	POS	5
268	Áo rộng hơn hình nhiều.	NEG	2
269	Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	5
270	kem bên trong là màu trắng khác với kem ngày là màu vàng nhẹ .thời gian giao hàng chậm.	NEU	3
271	Áo from rộng như ảnh.	POS	5
272	Chất liệu vải ổn.nhưng hơi rộng.	NEU	3
273	Ship ko đúng màu.	NEG	1
274	vãi nĩ dày . nóng.	NEG	2
275	Shop phục vụ rất tốt, chất lượng sp ok.	POS	5
276	ngon đấy, nhưng đang ăn thì ăn phải cọng thun.	NEG	2
277	Khá ok 😉 sẽ ủng hộ shop tiếp.	POS	4
278	Đẹp lắm nha.	POS	5
279	Áo vừa quá.	POS	5
280	Thời gian giao hàng nhanh.	POS	4
281	Áo đẹp lắm b ơi.	POS	5
282	Màu thì ko thực sự giống trong hình.	NEG	1
283	Chất lượng vải kém ko như hình .	NEG	2
284	Đã quay Video và chụp ảnh nhưng shop không phản hồi.	NEG	2
285	Quần thoải mái, vừa vặn, đẹp Shop phục vụ rất tốt.	POS	5
286	Vận chuyển hàg k nhắt lót vào cặp, nên cắp bị méo mất dág.	NEG	2
287	giao 2 sp.trat lat het 2 sp.minh la de chiu nhat hi ua hang.hoi that vong.	NEG	2
288	Ngày qua flash sale 39k/ chai, hết flash lên 55k xong 50k.	NEU	3
289	Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	4
290	Chất dc.	POS	5
291	Chất lượng sản phẩm tuyệt vời, hợp với giá tiền, sờ siêu thích, màu random nhưng đẹp lắm ạ!	POS	5
292	Mật ong loãng, ko đặc sánh lắm.	NEG	2
293	Sẽ tiếp tục ủng hộ shop dài lâu!	POS	5
294	Dép đi êm và mềm.	POS	4
295	Váy đẹp, vải thì mình thấy pha nilon nên hơi nóng.	NEU	3
296	Chất tạm dc tương sứng giá tiền.	POS	5
297	Giao hàng và chăm sóc tận tình.	POS	5
298	giá tốt. nhưng giao hàng chậm quá. không có số đt liên hệ khi cần gấp.	NEU	3
299	Shop cho doi tra ok.	NEU	3
300	Thật sự mình quá ưng cho 1 sp rẻ mà chất lượng .	POS	5
301	Lọc ổn nhưng hi vọng shop đóng hàng kĩ hơn.	POS	4
302	Vải mỏng, thô hơn mình tưởng tượng.	NEU	3
303	Giao hàng nhanh.	POS	5
304	Thời gian giao hàng nhanh Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt.	POS	5
305	áo màu sắc tươi sáng, vải chất ạ.	POS	5
306	Shop rất thái độ với khách hàng.	NEG	1
307	bị chật ngắn.	NEG	2
308	Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời Rất đáng tiền.	POS	5
309	Được tốt.	POS	5
310	Chất lượng sản phẩm tuyệt vời.	POS	5
311	Chất lượng sp qá tệ.	NEG	1
312	Chủ shop nhiệt tình dễ thương.	POS	5
313	Giao hàng nhanh,.	POS	4
314	Đàn nhìn cưng lắm 🎶🎵🎶.	POS	4
315	Chất lượng sản phẩm tuyệt vời quần hơi mỏng ạ.	POS	4
316	Chất lượng sản phẩm rất kém Shop phục vụ rất kém Rất không đáng tiền,Shop phục vu qua kem , nhan tin ve so Tien se hoan lai thi khong thay tra lỏi gì het.	NEG	1
317	Nhưng khá ok rồi.	POS	4
318	Hihi ưng lắm ạ giày đẹp lắm nha m.n đi êm mà dễ phối đồ cực.	POS	5
319	Chả ra gì cả .chất lượng kém.	NEG	1
320	Gui sai một sp còn lại chất lượng tốt.	NEU	3
321	Chất rất oke.	POS	5
322	Rất ưng, mặc thoải mái mà chất vải rất thích.	POS	5
323	Nhưng mà shop nói có tặng kèm dây đàn mà mình nhận được không có ạ.	NEG	2
324	Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh rất ưng.	POS	5
325	Rất ưng ý ;) sẽ tiếp tục mua để ủng hộ shop.	POS	5
326	Chứ nhận hàng hết cả hồn ngâm xà bông chà mãi vẫn k sạch.	NEG	1
327	Ai thik mua,chọn size lớn hơn 2size ok hơn.	POS	4
328	Đẹp hút hồn .	POS	5
329	Giao hàng cũng nhanh ^^!	POS	4
330	Giá còn rẻ.	POS	4
331	Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tốt Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	5
332	Sản phẩm bị ỉu,không giòn và cũng không có thời hạn sử dụng trên bao bì.	NEG	2
333	Không tốt chất liệu sấu.	NEG	2
334	Chất lượng sản phẩm tuyệt vời, shop này uy tín quá.	POS	5
335	Vải kate thun mỏng nhẹ mát.	POS	5
336	Chất lượng sản phẩm tuyệt vời.Đóng gói sản phẩm rất đẹp và chắc chắn.shop phục vụ rất tốt.	POS	5
337	Chất vải được.	POS	4
338	Sản phẩm đẹp ,ổn .chắc chắn mà lại rẻ hơn so vs mình mua ngoàí shop đắt mà mặc chưa đc 1 hôm đã đứt khuy.	POS	5
339	Áo sơ mi đẹp, giống hình.	NEU	3
340	Đóng gói đẹp, giao đúng hàng, sp chất lượng, giá tốt... rất hài lòng shop ơi, sẽ tiếp tục ủng hộ nè.	POS	5
341	Tuy nhiên mình mua 2 cái thì cái size L ở tay áo bị viết số màu xanh lên chỗ tay áo mình giặt ko ra.	NEG	1
342	Shop đóng gói cẩn thận, có kèm 1 tờ thiệp và 1 tờ rơi giới thiệu nữa. 😀.	POS	5
343	Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vờiO.	POS	5
344	Ko ưng y lam.	NEG	2
345	Shoppe nên coi lại chọn người bán cho c9s kinh nghiệm chút.	NEG	2
346	Chất lượng sản phẩm tuyệt vời.	POS	5
347	Giờ chẳng biết làm gì với cái áo đó.	NEG	1
348	Ncl rất ưng.	POS	5
349	Thời gian giao hàng rất nhanh.	POS	5
350	Kem thẩm thấu rất nhanh, thoa xong sáng dậy có cảm giác căng da và mịn hơn , còn việc chống lão hóa thì phải xài hết mới biết kết quả.	POS	4
351	chất lượng ok,mỗi tội bụng rộng quá.lại phải sửa.	NEU	3
352	Shop phục vụ rất tốt.	POS	5
353	Chất áo mỏngg.	NEU	3
354	Chất lượng sản phẩm tuyệt vời .Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	5
355	Đóng gói sản phẩm tốt, cần thêm hộp đựng sẽ tốt hơn.	POS	4
356	chất liệu vải thì cũng tạm được. chán cái đường chỉ 1 cái thì bục chỉ ở túi còn 1 cái máy cả vào chun.	NEG	2
357	Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn , áo khá to so với mình, nên bạn nào muốn mua size L mà tướng người nhỏ bé thì nên chọn soze M nha : , được tặng móc khóa hình Jinmin thích lắmm ><.	POS	5
358	Hàng chuẩn, uy tín.	POS	4
359	Mua 2 chai mà mới xịt dc 1 lần thì hư mất cái nắp!!	NEU	3
360	Thời gian giao hàng rất nhanh.	POS	5
361	Đặt hàng ko giao hàng là Sao vậy á.	NEG	1
362	Hơi mỏng :)) k như mong đợi.	NEG	2
363	Ủng hộ shop ngàn sao luôn nè 😋😋.	POS	5
364	Hic.	NEG	2
365	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn, chủ s nhiệt tình, vui tính.	POS	4
366	Giao hàng nhanh.	POS	4
367	Chất lượng khá tốt.	POS	4
368	Vải dày và co giãn tốt.	POS	4
369	Nhưng nếu màu hồng tươi thì ok !	POS	4
370	Vải rất đẹp.	POS	5
371	Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt Thời gian giao hàng hơi chậm.	NEU	3
372	Áo này dày hơn và chất đẹp hơn cái màu trắng mk mua.	POS	4
373	Mình 50kg bầu 4 tháng mua size 2XL mà mặc vừa zin,dáng quần đẹp,mấy nữa bụng to tí phải mua size to hơn thôi :).	NEU	3
374	Chất lượng sản phẩm tuyệt vời.	POS	5
375	Nỉ ấm và dày.	POS	5
376	Có chút trục trặc nhưng sửa lại thì vẫn đẹp.	POS	4
377	Chất lượng sản phẩm tuyệt vời.	POS	5
378	Chất áo đẹp, lên dáng ok, mỗi tội mặc hơi ngứa 1 tí Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh.	POS	5
379	Giao lâu.	NEG	2
